node,degree_centrality,betweenness_centrality,eigenvector_centrality
Hillary Clinton,0.43001304915180516,0.08563151909721294,0.15633634901440532
Clinton,0.4098303610265333,0.07927756248438121,0.1530989988763459
Donald Trump,0.40974336668116573,0.08653938313500951,0.14991264049161543
Obama,0.40365376250543716,0.17198251617183505,0.12890839844691354
Trump,0.3304915180513267,0.04956606059574627,0.13543667094462686
Ted Cruz,0.279077859939104,0.03516483488312504,0.12762201382546118
Bernie Sanders,0.25654632448890824,0.025806347530307378,0.1222916873725086
Barack Obama,0.24828186167899088,0.05740949052367338,0.10218658957722619
Bush,0.2302740321879078,0.027071085149303408,0.10361461591507645
Hillary,0.2202696824706394,0.014966318585569478,0.11567155020726556
Marco Rubio,0.2113962592431492,0.01747782008923757,0.10381676840764316
Bill Clinton,0.2066115702479339,0.01629570288173139,0.10496006299473025
George W. Bush,0.20400173988690737,0.023623450806324803,0.10129590056241891
Cruz,0.19217050891692042,0.013730494776912487,0.09790464840554083
Jeb Bush,0.19208351457155287,0.015263518055782951,0.0959030566262093
Chris Christie,0.13927794693344933,0.007488598881305394,0.08772113988730572
John Kasich,0.13458025228360157,0.006061696570309749,0.08302238519888809
Clintons,0.13301435406698564,0.004978517401124789,0.08494620472158322
John McCain,0.13162244454110483,0.008115193845817617,0.07751170955962611
Paul Ryan,0.1247498912570683,0.005947834292920429,0.08459830464381064
Mitch McConnell,0.12301000434971728,0.008310810451282187,0.07442363237929166
Reagan,0.12266202696824707,0.008044707166143132,0.0715755720465327
Ronald Reagan,0.11726837755545891,0.007272718189316053,0.06997691872521355
Ben Carson,0.11257068290561115,0.005307191797766967,0.07031117032645849
Rand Paul,0.10361026533275337,0.005410701651285312,0.05910585684739788
Scott Walker,0.10117442366246195,0.005879227192856897,0.06315336496836164
Politico,0.1007394519356242,0.004725320711613632,0.0721314269765933
Mike Pence,0.09186602870813397,0.004661402315770385,0.06375795657464496
John Boehner,0.09160504567203133,0.006670418658022983,0.054394472263481826
John Kerry,0.08916920400173989,0.012305821299661375,0.05071453960212911
Joe Biden,0.08908220965637234,0.007218475237284873,0.056585137886153776
Ryan,0.08508046976946498,0.006132300844358715,0.06125529992751107
Kasich,0.08429752066115703,0.002547365865537904,0.05631335016018466
Elizabeth Warren,0.08394954327968683,0.0031484716355118926,0.060314112825657254
Jeb,0.08290561113527621,0.001976225699753456,0.0589365680544508
Biden,0.08177468464549804,0.0026781149226716735,0.06323242636827792
Tim Kaine,0.0813397129186603,0.001595336263326504,0.06631670071919166
