Topic_Num,Topic_Perc_Contrib,Keywords,Representative Text
0.0,0.9100000262260437,"trump, day, world, man, call, drug, meeting, tomorrow, candidate, today","['collection', 'traveler', 'reader', 'choice', 'award', 'leisure', 'world', 'travel', 'award']"
1.0,0.8496000170707703,"border, president, law, fact, poll, woman, business, taxis, governor, love","['combat', 'welfare', 'mentality', 'individual', 'taxpayer']"
2.0,0.887499988079071,"deal, thing, dem, way, trade, campaign, place, support, life, help","['thing', 'deal', 'strength', 'leverage', 'strength', 'art', 'deal']"
3.0,0.887499988079071,"time, today, night, tonight, family, thank, realdonaldtrump, vet, honor, donaldtrump","['staff', 'honor', 'pre', 'month', 'honor', 'visit', 'today']"
4.0,0.871399998664856,"year, medium, witch, work, hunt, congratulation, collusion, case, morning, price","['link', 'championship', 'golf', 'course', 'tournament', 'prestige']"
5.0,0.8500000238418579,"crime, state, immigration, administration, lawyer, event, attack, phone, politician, justice","['pastor', 'praise', 'prison', 'reform', 'event']"
6.0,0.8148999810218811,"impeachment, wall, stock, friend, yesterday, week, policy, talk, part, disaster","['drip', 'drip', 'policy', 'flood', 'watch']"
7.0,0.887499988079071,"job, vote, election, economy, number, other, record, security, dollar, leader","['job', 'job', 'economy', 'start', 'economy', 'vote', 'midterm']"
8.0,0.8877000212669373,"com, status, news, https, story, pic, http, money, nation, report","['gun', 'control', 'http', 'bit', 'project', 'gun', 'runnerhttp', 'bit', 'pdtrow']"
9.0,0.8687999844551086,"people, country, twitter, history, foxnew, tax, tariff, book, rate, order","['skating', 'rink', 'park', 'ice', 'rink', 'country']"
