filename,total_words,unique_words
../data/100_english_novels/corpus/Cbronte_Villette_1853.txt,196557,29084
../data/100_english_novels/corpus/Forster_Angels_1905.txt,50477,9464
../data/100_english_novels/corpus/Woolf_Lighthouse_1927.txt,70185,11157
../data/100_english_novels/corpus/Meredith_Richmond_1871.txt,214985,28892
../data/100_english_novels/corpus/Stevenson_Treasure_1883.txt,68448,10831
../data/100_english_novels/corpus/Forster_Howards_1910.txt,111057,17065
../data/100_english_novels/corpus/Wcollins_Basil_1852.txt,118088,14586
../data/100_english_novels/corpus/Schreiner_Undine_1929.txt,90672,11744
../data/100_english_novels/corpus/Galsworthy_Man_1906.txt,110455,16713
../data/100_english_novels/corpus/Corelli_Innocent_1914.txt,121950,19627
../data/100_english_novels/corpus/Kipling_Light_1891.txt,72479,12493
../data/100_english_novels/corpus/Conrad_Nostromo_1904.txt,172276,21884
../data/100_english_novels/corpus/Stevenson_Arrow_1888.txt,80291,13168
../data/100_english_novels/corpus/Hardy_Tess_1891.txt,151197,20955
../data/100_english_novels/corpus/Thackeray_Esmond_1852.txt,187049,21375
../data/100_english_novels/corpus/Doyle_Lost_1912.txt,76281,12621
../data/100_english_novels/corpus/Trollope_Angel_1881.txt,217694,18023
../data/100_english_novels/corpus/Gissing_Warburton_1903.txt,85093,12864
../data/100_english_novels/corpus/Barclay_Rosary_1909.txt,105920,15223
../data/100_english_novels/corpus/Eliot_Daniel_1876.txt,311335,28606
../data/100_english_novels/corpus/James_Tragic_1890.txt,210553,21589
../data/100_english_novels/corpus/Doyle_Micah_1889.txt,177917,23564
../data/100_english_novels/corpus/Dickens_Bleak_1853.txt,357936,30797
../data/100_english_novels/corpus/Woolf_Night_1919.txt,167075,19055
../data/100_english_novels/corpus/Braddon_Audley_1862.txt,148763,18055
../data/100_english_novels/corpus/Bennet_Babylon_1902.txt,68397,11529
../data/100_english_novels/corpus/Kipling_Kim_1901.txt,107663,17998
../data/100_english_novels/corpus/Lytton_What_1858.txt,338512,38658
../data/100_english_novels/corpus/Meredith_Marriage_1895.txt,156151,24931
../data/100_english_novels/corpus/Corelli_Satan_1895.txt,169571,22058
../data/100_english_novels/corpus/Haggard_Mines_1885.txt,82948,12373
../data/100_english_novels/corpus/Stevenson_Catriona_1893.txt,102106,13816
../data/100_english_novels/corpus/Doyle_Hound_1902.txt,59639,9393
../data/100_english_novels/corpus/Chesterton_Innocence_1911.txt,79361,13458
../data/100_english_novels/corpus/Blackmore_Lorna_1869.txt,273259,25408
../data/100_english_novels/corpus/Haggard_Sheallan_1921.txt,121506,13669
../data/100_english_novels/corpus/Gaskell_Wives_1865.txt,270014,23203
../data/100_english_novels/corpus/Cbronte_Jane_1847.txt,189103,25762
../data/100_english_novels/corpus/Wcollins_Legacy_1889.txt,120704,13383
../data/100_english_novels/corpus/Morris_Roots_1890.txt,154305,14085
../data/100_english_novels/corpus/Burnett_Garden_1911.txt,81043,8939
../data/100_english_novels/corpus/Ford_Post_1926.txt,72055,12728
