keyword,collocate,raw_frequency,MI
sunshine,lapt,1,9.92647624015224
sunshine,grateless,1,9.92647624015224
sunshine,slurs,1,9.233329059592297
sunshine,wheriver,1,9.233329059592297
sunshine,mayonaise,1,9.233329059592297
sunshine,rectangles,1,9.233329059592297
sunshine,putrefying,1,9.233329059592297
sunshine,refracted,1,9.233329059592297
sunshine,'sitting,1,8.540181879032351
sunshine,kershaw,1,8.540181879032351
sunshine,serenest,1,8.540181879032351
sunshine,basked,2,8.422398843375968
sunshine,broadstairs,1,8.31703832771814
sunshine,celandines,1,8.31703832771814
sunshine,hearthstones,1,8.31703832771814
sunshine,naturalized,1,8.134716770924186
sunshine,wheelwright,1,8.134716770924186
sunshine,sweetening,1,8.134716770924186
sunshine,draggling,1,8.134716770924186
sunshine,mellowing,1,7.729251662816021
sunshine,gild,1,7.729251662816021
sunshine,brava,1,7.623891147158195
sunshine,dimmer,1,7.528580967353871
sunshine,poetically,1,7.528580967353871
sunshine,coronal,1,7.528580967353871
sunshine,halcyon,1,7.4415695903642405
sunshine,pawed,1,7.4415695903642405
sunshine,slant,2,7.400747595843986
sunshine,hunter's,1,7.361526882690704
sunshine,extinguishing,1,7.287418910536982
sunshine,meridian,1,7.218426039050031
sunshine,skim,1,7.093262896096025
sunshine,bibles,1,7.093262896096025
sunshine,buttoning,1,7.093262896096025
sunshine,wrapt,1,7.036104482256077
sunshine,smacks,1,7.036104482256077
sunshine,blackbirds,1,6.982037260985801
sunshine,glisten,1,6.982037260985801
sunshine,glinted,1,6.93074396659825
sunshine,watery,3,6.91421466464704
sunshine,vouchsafe,1,6.881953802428819
sunshine,xxxvii,2,6.881953802428819
sunshine,sparkles,1,6.881953802428819
sunshine,fostering,1,6.835433786793925
sunshine,radiated,1,6.790982024223092
sunshine,revelled,1,6.790982024223092
sunshine,gleams,4,6.769475819002128
sunshine,steeped,3,6.721023435616181
sunshine,lieu,1,6.70760041528404
sunshine,popery,1,6.70760041528404
sunshine,pencilled,1,6.70760041528404
sunshine,glinting,1,6.70760041528404
sunshine,broidered,1,6.66837970213076
sunshine,'sit,1,6.66837970213076
sunshine,ray,7,6.662900236366133
sunshine,drying,2,6.630639374147912
sunshine,aslant,1,6.630639374147912
sunshine,autumnal,2,6.594271729977037
sunshine,bathed,4,6.585382782559791
sunshine,joyfully,2,6.576572152877636
sunshine,traveled,1,6.559180410165768
sunshine,harvey's,1,6.525278858490085
sunshine,smelled,1,6.492489035667095
sunshine,dazzle,1,6.492489035667095
sunshine,noonday,1,6.460740337352514
sunshine,joyless,1,6.429968678685761
sunshine,tethered,1,6.429968678685761
sunshine,temperate,1,6.40011571553608
sunshine,diffused,1,6.40011571553608
sunshine,ethereal,1,6.40011571553608
sunshine,smeared,1,6.371128178662827
sunshine,breezy,1,6.371128178662827
sunshine,afternoon's,1,6.342957301696131
sunshine,cooing,1,6.342957301696131
sunshine,crows,1,6.342957301696131
sunshine,disperse,1,6.3155583275080165
sunshine,lighten,1,6.3155583275080165
sunshine,streaming,4,6.302135307175876
sunshine,awaking,1,6.288890080425856
sunshine,changeless,1,6.288890080425856
sunshine,grudged,1,6.288890080425856
sunshine,wrapping,1,6.288890080425856
sunshine,shimmering,1,6.262914594022595
sunshine,xxxviii,1,6.212904173447933
sunshine,cheerless,1,6.188806621868873
sunshine,fitfully,1,6.1652761244586785
sunshine,dimmed,1,6.1652761244586785
sunshine,fitful,2,6.153715302057603
sunshine,cooler,1,6.119813750381922
sunshine,overlook,1,6.097834843663146
sunshine,fuller,2,6.08702392755893
sunshine,floods,1,6.034655942041614
sunshine,streamed,2,6.004502903870927
sunshine,snatches,1,5.994650607427915
sunshine,lair,1,5.95618432660012
sunshine,indefinable,1,5.937492193587967
sunshine,smells,1,5.901124549417092
sunshine,waning,1,5.883424972317691
sunshine,discord,1,5.848938796246522
sunshine,chink,1,5.848938796246522
sunshine,hazy,1,5.783341513760709
sunshine,glaring,2,5.76759315679257
sunshine,fleeting,1,5.752088970256604
sunshine,april,2,5.721783620761275
sunshine,casti,1,5.706968534976134
sunshine,feeding,2,5.699642494884062
sunshine,unwonted,2,5.699642494884062
sunshine,blazing,3,5.692369735554982
sunshine,midsummer,1,5.677980998102882
sunshine,shuffled,1,5.677980998102882
sunshine,obscured,1,5.663796363110926
sunshine,streak,1,5.663796363110926
sunshine,dewy,1,5.649810121136186
sunshine,flooded,1,5.63601679900385
sunshine,rocked,1,5.622411146948071
sunshine,cloudless,1,5.60898812661593
sunshine,boon,1,5.60898812661593
sunshine,slimy,1,5.60898812661593
sunshine,pools,1,5.59574289986591
sunshine,sabbath,1,5.59574289986591
sunshine,reproachful,1,5.582670818298557
sunshine,towering,1,5.582670818298557
sunshine,marking,1,5.582670818298557
sunshine,blotted,1,5.55702838768522
sunshine,tripped,1,5.544449605478359
sunshine,lurid,1,5.519756992887988
sunshine,vapour,1,5.507635632355643
sunshine,throws,1,5.507635632355643
sunshine,glee,1,5.495659441308928
sunshine,muttering,2,5.483824983661925
sunshine,tinted,1,5.483824983661925
sunshine,fade,1,5.472128943898734
sunshine,margaret's,1,5.437839870420102
sunshine,viola,1,5.404687663103201
sunshine,october,2,5.393876746998985
sunshine,'o,1,5.393876746998985
sunshine,donnithorne,1,5.3831814578822375
sunshine,'thank,1,5.3831814578822375
sunshine,flood,4,5.3831814578822375
sunshine,deepening,1,5.3725993485517005
sunshine,facing,3,5.3517652616488585
sunshine,july,2,5.34662386214844
sunshine,january,1,5.3313563900176515
sunshine,silken,1,5.3313563900176515
sunshine,frosty,1,5.3213060541641495
sunshine,midday,1,5.311355723310982
sunshine,winced,1,5.311355723310982
sunshine,misty,1,5.301503426867971
sunshine,glared,1,5.301503426867971
sunshine,desiring,1,5.291747251922605
sunshine,capricious,1,5.272515889994718
sunshine,week's,1,5.263037146040174
sunshine,abiding,1,5.263037146040174
sunshine,tempered,2,5.263037146040174
sunshine,sparks,1,5.253647405690335
sunshine,mellow,1,5.253647405690335
sunshine,glare,2,5.244345013028021
sunshine,fragrant,1,5.244345013028021
sunshine,dusty,2,5.239726067171727
sunshine,ayala's,1,5.216946038839907
sunshine,flattery,1,5.207977368857146
sunshine,glitter,1,5.181544111788991
sunshine,fireside,1,5.172886049045877
sunshine,christobel,1,5.172886049045877
sunshine,summer,11,5.157333636038392
sunshine,rays,2,5.147352747040712
sunshine,smitten,1,5.147352747040712
sunshine,xi,1,5.1389844973701955
sunshine,struggles,1,5.1306856945555
sunshine,fading,1,5.1224551954189845
sunshine,shores,1,5.1224551954189845
sunshine,clouded,1,5.114291884779823
sunshine,liquid,1,5.106194674547204
sunshine,winter,7,5.067771869144931
sunshine,downwards,1,5.066663835790569
sunshine,softer,1,5.058941789696659
sunshine,piercing,1,5.043674317565871
sunshine,willow,1,5.036127111930488
sunshine,edged,1,5.02863644020133
sunshine,grasping,1,4.99200230702155
sunshine,colouring,1,4.99200230702155
sunshine,create,1,4.977716349774073
sunshine,autumn,3,4.9613033201327426
sunshine,oaths,1,4.956662940576241
sunshine,fearing,1,4.949742497731667
sunshine,survey,1,4.949742497731667
sunshine,glittering,2,4.936043653373505
sunshine,peep,1,4.936043653373505
sunshine,stain,1,4.922529934206782
sunshine,retained,1,4.889523637738612
sunshine,gladness,1,4.8830511232329945
sunshine,afar,1,4.870230434803933
sunshine,dazzling,1,4.85757203793201
sunshine,sprung,1,4.851302424918415
sunshine,cloud,5,4.850053205517982
sunshine,adam's,1,4.838879904919857
sunshine,hot,10,4.833953786583801
sunshine,silvery,1,4.832726039345479
sunshine,sails,1,4.8266098123280425
sunshine,quiver,1,4.814488451795698
sunshine,admission,1,4.808482427735486
sunshine,august,2,4.80549288888712
sunshine,noisy,1,4.796577525229168
sunshine,glowed,1,4.7789817633387885
sunshine,life's,1,4.7789817633387885
sunshine,eternal,2,4.7760790036808265
sunshine,lazy,1,4.773184645654462
sunshine,brightly,1,4.755992245114089
sunshine,brighter,1,4.7503265075784125
sunshine,bright,13,4.744692689860156
sunshine,chillon,1,4.739090434311486
sunshine,placid,1,4.733519389262031
sunshine,roses,3,4.720639726398369
sunshine,chancery,1,4.711540482543255
sunshine,joyous,1,4.706120415073916
sunshine,sweetest,1,4.684729225092599
sunshine,mid,1,4.684729225092599
sunshine,manhood,1,4.679452167991755
sunshine,afternoon,11,4.671351099146422
sunshine,september,1,4.66898086812446
sunshine,harmony,1,4.66898086812446
sunshine,brightened,1,4.648361580921724
sunshine,southern,1,4.648361580921724
sunshine,gleam,2,4.633171415427749
sunshine,amidst,3,4.6231713320931656
sunshine,pausing,1,4.613270261110454
sunshine,gaiety,1,4.608356246308025
sunshine,indicated,1,4.603466261013833
sunshine,soothed,1,4.5937574468868725
sunshine,pouring,1,4.5937574468868725
sunshine,calm,6,4.587336879083949
sunshine,upwards,1,4.569889965480229
sunshine,spring,5,4.560500225130389
sunshine,frost,1,4.555838212024578
sunshine,june,2,4.553515330608438
sunshine,jove,1,4.5465788866117816
sunshine,dimly,1,4.541981177363152
sunshine,groups,1,4.523798858279962
sunshine,storm,3,4.517810816435339
sunshine,v,1,4.4971306111978
sunshine,missing,1,4.4971306111978
sunshine,creeping,1,4.488396931229046
sunshine,eastern,1,4.488396931229046
sunshine,casting,1,4.479738868485931
sunshine,champagne,1,4.479738868485931
sunshine,yellow,6,4.47758601512483
sunshine,poured,2,4.47115512479454
sunshine,fatigue,1,4.454205566480766
sunshine,fishing,1,4.4375385139955545
sunshine,entering,2,4.419114246669496
sunshine,em,1,4.417087903524264
sunshine,decoud,1,4.409023343687534
sunshine,falls,1,4.409023343687534
sunshine,beating,2,4.401023301020457
sunshine,men's,1,4.401023301020457
sunshine,glances,1,4.397047152640818
sunshine,broad,5,4.391506972265202
sunshine,radiant,1,4.389141973133705
sunshine,graham,1,4.381298795672679
sunshine,climbed,1,4.350527137005925
sunshine,solitude,2,4.335489259641385
sunshine,denied,1,4.335489259641385
sunshine,stream,3,4.314565419367923
sunshine,funeral,1,4.306075374435091
sunshine,indignant,1,4.302458733964903
sunshine,glowing,1,4.302458733964903
sunshine,burst,4,4.289011646533688
sunshine,brings,1,4.2845691692141274
